,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,02,17 11 29 02 00 00.0,.268846750259D-03,-.989075488178D-11,.000000000000D+00,.420000000000D+02,.621875000000D+01,.493020536284D-08,-.211657342421D+01,.387430191040D-06,.173541544937D-01,.450946390629D-05,.515362784195D+04,.266400000000D+06,.270083546638D-06,.451374922080D+00,-.540167093277D-07,.948423615365D+00,.284375000000D+03,-.193414473531D+01,-.812176687562D-08,.341442793891D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.420000000000D+02,.259206000000D+06,.000000000000D+00
1,17,17 11 29 02 00 00.0,-.141501892358D-03,.238742359215D-11,.000000000000D+00,.450000000000D+02,.418750000000D+01,.406695511929D-08,-.368619960672D+00,.303611159325D-06,.121909348527D-01,.100843608379D-04,.515372105026D+04,.266400000000D+06,-.782310962677D-07,-.494704956619D+00,.856816768646D-07,.981734521892D+00,.200281250000D+03,-.182663408253D+01,-.802854870699D-08,.195722438339D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.450000000000D+02,.259206000000D+06,.000000000000D+00
2,19,17 11 29 02 00 00.0,-.472954474390D-03,.216004991671D-11,.000000000000D+00,.102000000000D+03,.812500000000D+00,.399730936112D-08,.261853969175D+01,-.540167093277D-07,.980747002177D-02,.986456871033D-05,.515368929100D+04,.266400000000D+06,.428408384323D-07,-.447330025274D+00,-.165775418282D-06,.979139621210D+00,.196062500000D+03,.109711214831D+01,-.764210403859D-08,.147506144223D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.102000000000D+03,.259206000000D+06,.000000000000D+00
3,06,17 11 29 02 00 00.0,.411608722061D-03,.136424205266D-11,.000000000000D+00,.750000000000D+02,.803125000000D+01,.462733560424D-08,-.225181075458D+01,.378116965294D-06,.680618919432D-03,.506639480591D-05,.515378749847D+04,.266400000000D+06,.633299350739D-07,.500350410152D+00,.298023223877D-07,.969135110676D+00,.288343750000D+03,-.129015049698D+01,-.820248452355D-08,.197508227010D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.750000000000D+02,.259206000000D+06,.000000000000D+00
4,05,17 11 29 02 00 00.0,-.213109888136D-04,.113686837722D-11,.000000000000D+00,.980000000000D+02,-.607187500000D+02,.486877423256D-08,.401147148337D+00,-.304728746414D-05,.528010830749D-02,.795722007751D-05,.515359758759D+04,.266400000000D+06,-.353902578354D-07,.153214127373D+01,.115483999252D-06,.946859647682D+00,.217968750000D+03,.631271671365D+00,-.829213111483D-08,-.248581783000D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.980000000000D+02,.259206000000D+06,.000000000000D+00
5,25,17 11 29 02 00 00.0,-.497269909829D-03,-.625277607469D-11,.000000000000D+00,.550000000000D+02,-.426562500000D+02,.424410535545D-08,.206424924498D+01,-.230409204960D-05,.673394254409D-02,.711344182491D-05,.515372333336D+04,.266400000000D+06,-.158324837685D-06,-.158748119276D+01,-.726431608200D-07,.975607572280D+00,.249937500000D+03,.804893318397D+00,-.798140388608D-08,-.310370071016D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.550000000000D+02,.259206000000D+06,.000000000000D+00
6,12,17 11 29 02 00 00.0,.362745020539D-03,-.170530256582D-11,.000000000000D+00,.780000000000D+02,-.437187500000D+02,.387837583564D-08,.249881658275D+01,-.243261456490D-05,.661295768805D-02,.733137130737D-05,.515368767357D+04,.266400000000D+06,-.651925802231D-07,-.152989859837D+01,-.856816768646D-07,.987832798310D+00,.250625000000D+03,.907560209926D+00,-.775675167127D-08,-.345371528968D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.780000000000D+02,.259206000000D+06,.000000000000D+00
7,13,17 11 29 02 00 00.0,-.943769700825D-04,-.341060513165D-12,.000000000000D+00,.710000000000D+02,.548125000000D+02,.420517516242D-08,-.185517368466D+01,.293552875519D-05,.363614223897D-02,.102277845144D-04,.515366421127D+04,.266400000000D+06,.111758708954D-07,.271551419202D+01,.372529029846D-07,.969216526456D+00,.186718750000D+03,.167236965195D+01,-.783604068826D-08,.192508018732D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.710000000000D+02,.259296000000D+06,.000000000000D+00
8,24,17 11 29 02 00 00.0,-.427966006100D-04,-.454747350886D-12,.000000000000D+00,.750000000000D+02,.535000000000D+02,.523164649050D-08,-.224883085482D+01,.260770320892D-05,.636532600038D-02,.456720590591D-05,.515366503334D+04,.266400000000D+06,.912696123123D-07,-.267541471070D+01,-.128522515297D-06,.943704578112D+00,.283187500000D+03,.482571837374D+00,-.852785521940D-08,.203937066226D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.750000000000D+02,.259416000000D+06,.000000000000D+00
9,20,17 11 29 02 00 00.0,.494107604027D-03,.102318153949D-11,.000000000000D+00,.450000000000D+02,-.549687500000D+02,.530414951055D-08,-.140839345473D+01,-.267103314400D-05,.465395930223D-02,.745244324207D-05,.515375999641D+04,.266400000000D+06,-.856816768646D-07,.144799353678D+01,.931322574615D-07,.927161076849D+00,.217656250000D+03,.172921828132D+01,-.852214069565D-08,-.192865176466D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.450000000000D+02,.259416000000D+06,.000000000000D+00
