,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
2,13,171101020000,-9.344099089499999e-05,-4.54747350886e-13,0,68,80.34375,4.30196490839e-09,-2.8868427310600002,4.02517616749e-06,0.00357432605233,9.8031014204e-06,5153.6621685,266400,1.67638063431e-08,-3.0670069471200003,2.04890966415e-08,0.9695249812700001,193.84375,1.6996595533899999,-7.88247119371e-09,4.0430255511e-10,1,1973,0,0,0,-1.1641532182700001e-08,68,259206,0
19,13,171101040000,-9.344425052399998e-05,-4.54747350886e-13,0,88,72.71875,4.218032840860001e-09,-1.8364950398400002,3.87616455555e-06,0.0035734927514600003,9.90368425846e-06,5153.66404533,273600,3.72529029846e-09,-3.06706368786,3.91155481339e-08,0.969527844201,193.0625,1.69949712999,-7.895328872139999e-09,4.01802450971e-10,1,1973,0,0,0,-1.1641532182700001e-08,88,266406,0
30,13,171101060000,-9.34470444918e-05,-4.54747350886e-13,0,89,72.65625,4.2444625131899995e-09,-0.7864439976809999,3.7960708141300003e-06,0.00357357703615,1.0222196579e-05,5153.66321945,280800,-2.79396772385e-08,-3.06712100791,-3.53902578354e-08,0.969530495008,188.59375,1.69963144196,-7.97176062726e-09,4.2787496556699993e-10,1,1973,0,0,0,-1.1641532182700001e-08,89,273606,0
41,13,171101080000,-9.34503041208e-05,-4.54747350886e-13,0,91,79.4375,4.165173496190001e-09,0.26393515359299996,4.08291816711e-06,0.00357529695611,1.07139348984e-05,5153.6667099,288000,3.72529029846e-09,-3.06717846987,-4.47034835815e-08,0.9695336124869999,176.8125,1.69943597416,-7.98176104381e-09,4.3037506970600003e-10,1,1973,0,0,0,-1.1641532182700001e-08,91,280806,0
129,13,171101215944,-9.34698618948e-05,-4.54747350886e-13,0,20,91.4375,4.29982196199e-09,1.33034701658,4.770234227180001e-06,0.0035748912487199996,1.17514282465e-05,5153.6656971,338384,1.86264514923e-09,-3.0675771267500003,-6.70552253723e-08,0.969549869895,156.625,1.69879050105,-7.9199727558e-09,4.14660129402e-10,1,1973,0,0,0,-1.1641532182700001e-08,20,331326,0
139,13,171102000000,-9.34726558626e-05,-4.54747350886e-13,0,21,92.71875,4.18053127877e-09,2.38274584037,4.68082726002e-06,0.0035748758819000004,1.16843730211e-05,5153.66645432,345600,4.842877388e-08,-3.06763354565,4.47034835815e-08,0.969553206811,159.84375,1.6989086785,-7.80746806953e-09,3.75729936374e-10,1,1973,0,0,0,-1.1641532182700001e-08,21,338406,0
153,13,171102020000,-9.34754498303e-05,-4.54747350886e-13,0,22,86.875,4.17695970142e-09,-2.85010525931,4.3623149395e-06,0.0035759138409000002,1.12038105726e-05,5153.66432762,352800,9.31322574615e-09,-3.0676894613099996,3.72529029846e-09,0.9695557479000001,166.96875,1.6987582290799998,-7.7946103911e-09,3.32156692802e-10,1,1973,0,0,0,-1.1641532182700001e-08,22,346536,0
164,13,171102040000,-9.347824379799998e-05,-4.54747350886e-13,0,23,75.4375,4.08731311014e-09,-1.79964708705,4.01586294174e-06,0.00357471813913,1.12485140562e-05,5153.66721153,360000,9.31322574615e-09,-3.0677455583599995,4.28408384323e-08,0.969557965684,167.59375,1.6984826987000001,-7.826040271699999e-09,3.16798910232e-10,1,1973,0,0,0,-1.1641532182700001e-08,23,352806,0
177,13,171102060000,-9.3481503427e-05,-4.54747350886e-13,0,24,73.71875,4.11802867528e-09,-0.749682264898,3.8538128137599995e-06,0.0035747293150100003,1.16433948278e-05,5153.66582489,367200,-2.04890966415e-08,-3.0678023181200005,-1.8626451492299998e-08,0.969560045953,161.34375,1.6987005754799998,-7.889614348389999e-09,3.37514058815e-10,1,1973,0,0,0,-1.1641532182700001e-08,24,360006,0
187,13,171102080000,-9.34842973948e-05,-4.54747350886e-13,0,25,81.09375,4.006595462210001e-09,0.300736392478,4.179775714869999e-06,0.0035773743875299998,1.24741345644e-05,5153.67107201,374400,-1.86264514923e-09,-3.06785907056,-4.28408384323e-08,0.9695624509909999,142.65625,1.69846237731,-7.8949717144e-09,3.22513433979e-10,1,1973,0,0,0,-1.1641532182700001e-08,25,367206,0
