,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,23,21,2017-11-01 04:00:00,-0.0004661791026590001,3.41060513165e-12,0,31,1.125,5.1887875624e-09,2.10713322116,-3.61353158951e-07,0.0240453334991,2.82935798168e-06,5153.57305527,273600,3.632158041e-07,0.961216010345,-2.62632966042e-07,0.941183074956,308.625,-1.62907065761,-8.27784480546e-09,2.96440919383e-11,1,1973,0,0,0,-9.77888703346e-09,31,273126,0
1,32,21,2017-11-01 06:00:00,-0.000466154888272,3.41060513165e-12,0,67,10.46875,5.23236080597e-09,-3.12583781,4.82425093651e-07,0.0240443610819,2.98209488392e-06,5153.57531738,280800,4.22820448875e-07,0.961156418377,-4.0978193283099994e-08,0.941183326578,307.65625,-1.6290383812399998,-8.255701025939999e-09,9.60754304987e-11,1,1973,0,0,0,-9.77888703346e-09,67,273606,0
2,42,21,2017-11-01 08:00:00,-0.000466130208224,3.41060513165e-12,0,68,19.5625,5.20914555325e-09,-2.07562431372,1.24052166939e-06,0.0240455112653,2.64495611191e-06,5153.57274055,288000,3.89292836189e-07,0.961096709376,1.89989805222e-07,0.941184559818,312.25,-1.62900492431,-8.27177312398e-09,1.78936024832e-10,1,1973,0,0,0,-9.77888703346e-09,68,280806,0
3,57,21,2017-11-01 10:00:00,-0.000466105528176,3.41060513165e-12,0,69,23.28125,5.64023493842e-09,-1.0254649732,1.54040753841e-06,0.0240455626044,3.919005393980001e-06,5153.56859207,295200,-4.09781932831e-07,0.961034630447,3.94880771637e-07,0.941181901695,297.1875,-1.62891415756,-9.10895085294e-09,1.3536278126e-10,1,1973,0,0,0,-9.77888703346e-09,69,288006,0
4,70,21,2017-11-01 12:00:00,-0.00046608131378900007,3.41060513165e-12,0,70,18.65625,5.71595237807e-09,0.0247708720805,1.11572444439e-06,0.0240451112622,3.98606061935e-06,5153.56738853,302400,-3.7625432014499997e-07,0.960967489822,1.67638063431e-08,0.941182889165,296.59375,-1.62889544683,-9.27574351481e-09,1.82507602174e-10,1,1973,0,0,0,-9.77888703346e-09,70,295206,0
5,168,21,2017-11-02 04:00:00,-0.000465884804726,3.41060513165e-12,0,34,32.0625,5.22664628223e-09,2.1432362370400004,1.26659870148e-06,0.0240451236023,3.36021184921e-06,5153.57045555,360000,3.7625432014499997e-07,0.960462427595,-2.30967998505e-07,0.941203399277,297.875,-1.6285350555000002,-8.25712965688e-09,1.9607959607400003e-10,1,1973,0,0,0,-9.77888703346e-09,34,359316,0
6,179,21,2017-11-02 06:00:00,-0.000465860124677,3.41060513165e-12,0,35,42.875,5.25236163909e-09,-3.0897354378,2.14017927647e-06,0.024043811485200003,3.66941094398e-06,5153.57330322,367200,4.2095780372600004e-07,0.960402958512,-5.58793544769e-09,0.941204849028,294.25,-1.62850043993,-8.23462871962e-09,2.65011038773e-10,1,1973,0,0,0,-9.77888703346e-09,35,366816,0
7,185,21,2017-11-02 08:00:00,-0.00046583591029,3.41060513165e-12,0,36,47.71875,5.20378818724e-09,-2.03950640533,2.70083546638e-06,0.0240442670183,3.5651028156300004e-06,5153.57214165,374400,3.66941094398e-07,0.960343435302,2.1792948246e-07,0.941207280398,294.84375,-1.62848169995,-8.24855787126e-09,3.45371528968e-10,1,1973,0,0,0,-9.77888703346e-09,36,367206,0
8,198,21,2017-11-02 10:00:00,-0.000465811230242,3.41060513165e-12,0,37,49.3125,5.62166273625e-09,-0.989352366429,2.87592411041e-06,0.0240441667847,4.9248337745699996e-06,5153.56772423,381600,-4.24683094025e-07,0.960281382705,3.40864062309e-07,0.941205995956,278.53125,-1.62838524245,-9.06430613616e-09,3.246563803840001e-10,1,1973,0,0,0,-9.77888703346e-09,37,374406,0
9,212,21,2017-11-02 12:00:00,-0.000465786550194,3.41060513165e-12,0,38,43.875,5.70166606871e-09,0.0608816428905,2.44565308094e-06,0.0240436407039,4.97326254845e-06,5153.56635094,388800,-3.59490513802e-07,0.960214667789,-1.3038516044600002e-08,0.941208399531,278.0625,-1.62836420715,-9.21859827734e-09,3.70729728096e-10,1,1973,0,0,0,-9.77888703346e-09,38,381606,0
10,329,21,2017-11-03 06:00:00,-0.0004655648954210001,3.41060513165e-12,0,46,65.84375,5.19378777068e-09,-3.05356012158,3.30805778503e-06,0.0240405406803,5.18746674061e-06,5153.57193184,453600,3.91155481339e-07,0.95965542054,2.421438694e-08,0.941242685942,264.71875,-1.62803062526,-8.13141013444e-09,4.43589905872e-10,1,1973,0,0,0,-9.77888703346e-09,46,451656,0
11,339,21,2017-11-03 08:00:00,-0.0004655402153730001,3.41060513165e-12,0,47,64.15625,5.12985653626e-09,-2.00330740301,3.54088842869e-06,0.0240402324125,5.2582472562800005e-06,5153.57251358,460800,3.53902578354e-07,0.959596776543,2.421438694e-07,0.941246223278,262.5,-1.6280357747299998,-8.16391148825e-09,4.95020619596e-10,1,1973,0,0,0,-9.77888703346e-09,47,453606,0
12,351,21,2017-11-03 10:00:00,-0.000465515535325,3.41060513165e-12,0,48,62.25,5.52022993973e-09,-0.953147563633,3.51667404175e-06,0.0240399085451,6.58817589283e-06,5153.56837463,468000,-4.2095780372600004e-07,0.959535235968,2.9057264328e-07,0.941246230592,247.1875,-1.6279461432,-8.94930134575e-09,4.9537777733e-10,1,1973,0,0,0,-9.77888703346e-09,48,460806,0
13,364,21,2017-11-03 12:00:00,-0.00046549085527699993,3.41060513165e-12,0,79,56.03125,5.605233480470001e-09,0.0970823100165,3.09199094772e-06,0.024039425188700003,6.69248402119e-06,5153.56702805,475200,-3.2410025596599996e-07,0.959469445616,-2.79396772385e-08,0.941249908368,245.6875,-1.62792196263,-9.09145012396e-09,5.443083869149998e-10,1,1973,0,0,0,-9.77888703346e-09,79,468006,0
14,471,21,2017-11-04 04:00:00,-0.000465296208858,3.41060513165e-12,0,51,61.46875,5.05628204301e-09,2.21569432813,2.8870999813099998e-06,0.024036812596,7.0389360189399995e-06,5153.56954956,532800,3.66941094398e-07,0.958977456026,-1.4714896678900002e-07,0.94129090811,226.09375,-1.62771531667,-7.996404510920001e-09,5.49308595194e-10,1,1973,0,0,0,-9.77888703346e-09,51,531606,0
15,473,21,2017-11-04 06:00:00,-0.0004652719944719999,3.41060513165e-12,0,52,70.34375,5.05378193887e-09,-3.01727103862,3.5222619772e-06,0.0240357761504,7.31274485588e-06,5153.57177925,540000,3.3900141716e-07,0.958920046732,3.91155481339e-08,0.941294850675,223.15625,-1.6276877845500002,-7.9606887375e-09,5.85381526347e-10,1,1973,0,0,0,-9.77888703346e-09,52,532806,0
16,485,21,2017-11-04 08:00:00,-0.0004652473144230001,3.41060513165e-12,0,85,63.40625,5.00520848702e-09,-1.96699794013,3.4719705581699996e-06,0.0240350840613,7.3853880167e-06,5153.57349205,547200,3.557652235030001e-07,0.958862861264,2.68220901489e-07,0.941299056564,221.6875,-1.62771452377,-8.03819196582e-09,5.828814222080001e-10,1,1973,0,0,0,-9.77888703346e-09,85,540006,0
17,499,21,2017-11-04 10:00:00,-0.000465222634375,3.41060513165e-12,0,86,57.5625,5.35736601294e-09,-0.916815143179,3.22051346302e-06,0.0240345363272,8.50856304169e-06,5153.57042694,554400,-4.02331352234e-07,0.958802129683,2.51457095146e-07,0.941299888964,210.84375,-1.6276499754299998,-8.796794993250001e-09,6.007393089180001e-10,1,1973,0,0,0,-9.77888703346e-09,86,547206,0
18,513,21,2017-11-04 12:00:00,-0.000465197954327,3.41060513165e-12,0,91,49.53125,5.44808407743e-09,0.133406159233,2.7604401111599996e-06,0.0240340870805,8.7134540081e-06,5153.56905556,561600,-2.92435288429e-07,0.9587375872,-2.421438694e-08,0.941304352327,207.8125,-1.62761943117,-8.921800200220002e-09,6.468126566290002e-10,1,1973,0,0,0,-9.77888703346e-09,91,554406,0
19,633,21,2017-11-05 06:00:00,-0.000464975833893,3.41060513165e-12,0,55,51.53125,4.85913097374e-09,-2.98087362803,2.54064798355e-06,0.0240318959113,9.54605638981e-06,5153.57313347,21600,2.88709998131e-07,0.8377850579330001,3.35276126862e-08,0.941354937109,179.1875,-1.62748193881,-7.76639493009e-09,6.44669710224e-10,1,1974,0,0,0,-9.77888703346e-09,55,19146,0
20,638,21,2017-11-05 08:00:00,-0.000464951153845,3.41060513165e-12,0,56,44.65625,4.8652026552199995e-09,-1.93059813181,2.45869159698e-06,0.0240315606352,9.408220648769999e-06,5153.57446671,28800,3.7252902984600003e-07,0.8377295241,3.01748514175e-07,0.941359118129,182.625,-1.62751294244,-7.9085437083e-09,5.778812139290002e-10,1,1974,0,0,0,-9.77888703346e-09,56,21606,0
