,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,0,2,2017-11-01 00:00:00,"0.000292368854085
",-9.54969436862E-12,0,60,-9.015625,4.63E-09,-4.17138600347,-2.41E-07,0.0172134318854,3.13E-06,5153.613002775,259200,2.97E-07,"0.953051136851
",-5.28E-07,0.9477400032555,"305.59375
",-1.943701280575,-7.95E-09,2.07E-10,1,1973,0,0,0,-2.04890966415E-08,60,259206,0
0,0,2,2017-11-01 02:00:00,0.000292277429253,-9.54969436862E-12,0,61,3.71875,5.00163690968E-09,-3.12123797131,2.55182385445E-07,0.0172140288632,3.2689422369E-06,5153.60997772,266400,1.95577740669E-07,0.952991187931,-2.01165676117E-07,0.947740034708,305.96875,-1.94362360036,-8.24677208259E-09,1.56077929844E-10,1,1973,0,0,0,-2.04890966415E-08,61,259206,0
1,13,2,2017-11-01 04:00:00,0.000292208977044,-9.54969436862E-12,0,62,9.375,5.08878339683E-09,-2.07106419765,5.75557351112E-07,0.0172151542502,2.93925404549E-06,5153.60737228,273600,2.94297933578E-07,0.952931449671,-6.89178705215E-08,0.947741542977,314.96875,-1.94357294683,-8.27641617453E-09,2.17151902391E-10,1,1973,0,0,0,-2.04890966415E-08,62,266406,0
2,25,2,2017-11-01 06:00:00,0.000292140059173,-9.54969436862E-12,0,63,19.28125,5.41451125041E-09,-1.02094190699,1.24797224998E-06,0.0172152228188,3.54647636414E-06,5153.60392761,280800,-7.45058059692E-09,0.952871290091,4.52622771263E-07,0.947740097613,306.71875,-1.94346823993,-8.84679707604E-09,5.39308178636E-11,1,1973,0,0,0,-2.04890966415E-08,63,273606,0
4,131,2,2017-11-01 22:00:00,0.00029158918187,-9.54969436862E-12,0,18,29.125,5.35022285826E-09,1.09503667571,1.42492353916E-06,0.0172154736938,4.34555113316E-06,5153.60520172,338384,-3.27825546265E-07,0.952367402588,-2.04890966415E-08,0.947752070135,290.25,-1.9431359454,-8.9132284146E-09,2.2643800348E-10,1,1973,0,0,0,-2.04890966415E-08,18,336606,0
5,133,2,2017-11-02 00:00:00,0.000291520264,-9.54969436862E-12,0,19,26.96875,5.07306845652E-09,2.14755341509,1.16974115372E-06,0.0172153791646,3.83891165257E-06,5153.60665894,345600,1.11758708954E-07,0.952303989478,-3.94880771637E-07,0.947756593478,295.3125,-1.94309086265,-8.35677666472E-09,3.45014371233E-10,1,1973,0,0,0,-2.04890966415E-08,19,338406,0
6,144,2,2017-11-02 02:00:00,0.000291451346129,-9.54969436862E-12,0,20,34.78125,5.04020994498E-09,-3.08543819202,1.85705721378E-06,0.0172144249082,3.7457793951E-06,5153.60868454,352800,2.04890966415E-07,0.952244867107,-1.75088644028E-07,0.947759301339,296.90625,-1.94305986488,-8.23570019283E-09,3.19656172105E-10,1,1973,0,0,0,-2.04890966415E-08,20,345606,0
7,156,2,2017-11-02 04:00:00,0.000291382428259,-9.54969436862E-12,0,21,38.25,5.10092675979E-09,-2.03523801414,2.0656734705E-06,0.0172148295678,3.72156500816E-06,5153.60763359,360000,2.9057264328E-07,0.952185264898,-4.09781932831E-08,0.947761960924,300.03125,-1.94303509622,-8.26320133836E-09,3.74658463172E-10,1,1973,0,0,0,-2.04890966415E-08,21,352806,0
8,169,2,2017-11-02 06:00:00,0.000291313510388,-9.54969436862E-12,0,22,46.28125,5.40486799159E-09,-0.98511714398,2.6524066925E-06,0.0172147183912,4.45172190666E-06,5153.60413933,367200,-4.28408384323E-08,0.952125090689,4.22820448875E-07,0.947761820484,289.84375,-1.94292913852,-8.80715256754E-09,2.35366946835E-10,1,1973,0,0,0,-2.04890966415E-08,22,360006,0
9,280,2,2017-11-02 22:00:00,0.000290764030069,-9.54969436862E-12,0,29,51.96875,5.29879214453E-09,1.13092490596,2.63005495071E-06,0.0172138507478,5.62705099583E-06,5153.60577011,424784,-3.16649675369E-07,0.951624610322,-2.98023223877E-08,0.947784691745,265.375,-1.94266224375,-8.82072456144E-09,4.37161066656E-10,1,1973,0,0,0,-2.04890966415E-08,29,422736,0
10,290,2,2017-11-03 00:00:00,0.000290695112199,-9.54969436862E-12,0,30,52.0625,5.0352097367E-09,2.18345777401,2.48849391937E-06,0.0172136857873,5.15580177307E-06,5153.6067028,432000,1.43423676491E-07,0.951561995965,-3.59490513802E-07,0.947790692635,269.4375,-1.94263378121,-8.26820154664E-09,5.41093967307E-10,1,1973,0,0,0,-2.04890966415E-08,30,424806,0
11,299,2,2017-11-03 02:00:00,0.000290626194328,-9.54969436862E-12,0,31,58.3125,4.99949396328E-09,-3.0495283018,3.06218862534E-06,0.0172129329294,5.09992241859E-06,5153.60830688,439200,1.95577740669E-07,0.951503555314,-1.39698386192E-07,0.947794771251,270.9375,-1.94260856636,-8.14533928608E-09,5.04663878419E-10,1,1973,0,0,0,-2.04890966415E-08,31,432006,0
12,313,2,2017-11-03 04:00:00,0.000290557276458,-9.54969436862E-12,0,32,57.9375,5.04485299552E-09,-1.99929906013,3.06777656078E-06,0.0172127957921,5.29363751411E-06,5153.60860825,446400,2.92435288429E-07,0.951444794283,-2.98023223877E-08,0.947798608485,269.90625,-1.9426133501,-8.1810550595E-09,5.25021869268E-10,1,1973,0,0,0,-2.04890966415E-08,32,439206,0
13,326,2,2017-11-03 06:00:00,0.000290488358587,-9.54969436862E-12,0,33,61.25,5.31379276937E-09,-0.949153374494,3.42354178429E-06,0.0172124791425,6.02751970291E-06,5153.60593605,453600,-5.96046447754E-08,0.951385113077,3.83704900742E-07,0.947799710062,260.25,-1.94253370591,-8.69964808955E-09,4.05016870578E-10,1,1973,0,0,0,-2.04890966415E-08,33,446406,0
14,433,2,2017-11-03 22:00:00,0.0002899360843,-9.54969436862E-12,0,35,56.90625,5.15164315804E-09,1.16694648412,2.9169023037E-06,0.0172115234891,7.61821866035E-06,5153.60859871,511184,-3.12924385071E-07,0.950892174053,-2.04890966415E-08,0.947832559888,226.875,-1.94233843415,-8.65786063465E-09,6.20025826564E-10,1,1973,0,0,0,-2.04890966415E-08,35,508866,0
15,442,2,2017-11-04 00:00:00,0.00028986716643,-9.54969436862E-12,0,36,60.53125,4.91163316066E-09,2.21951278423,2.95974314213E-06,0.0172113224398,7.28480517864E-06,5153.60839844,518400,1.58324837685E-07,0.950830870471,-3.1478703022E-07,0.947839859849,227.75,-1.94234570778,-8.10676625078E-09,7.1324399519E-10,1,1973,0,0,0,-2.04890966415E-08,36,511206,0
16,454,2,2017-11-04 02:00:00,0.000289798248559,-9.54969436862E-12,0,73,65.40625,4.87163149443E-09,-3.01347459504,3.40864062309E-06,0.0172108017141,7.18794763088E-06,5153.60958862,525600,1.63912773132E-07,0.950773601617,-1.06170773506E-07,0.947845126354,230.5,-1.94232116294,-7.98676125209E-09,6.64670543339E-10,1,1973,0,0,0,-2.04890966415E-08,73,518406,0
17,466,2,2017-11-04 04:00:00,0.000289728865027,-9.54969436862E-12,0,74,61.9375,4.93056252058E-09,-1.9632330868,3.24286520481E-06,0.0172106858809,7.35744833946E-06,5153.6101284,532800,3.07336449623E-07,0.950716277172,-3.53902578354E-08,0.947849842802,230.28125,-1.94233990877,-8.04497796277E-09,6.25026034843E-10,1,1973,0,0,0,-2.04890966415E-08,74,525606,0
18,480,2,2017-11-04 06:00:00,0.000289659947157,-9.54969436862E-12,0,80,59.03125,5.1595006282E-09,-0.913035078433,3.28570604324E-06,0.0172102558427,7.91251659393E-06,5153.60919189,540000,-6.14672899246E-08,0.950657464939,3.50177288055E-07,0.94785172704,224.75,-1.94231515181,-8.55464204946E-09,5.17164399116E-10,1,1973,0,0,0,-2.04890966415E-08,80,532806,0
