Epoch_Time_of_Clock,OMEGA_dot,actual
2017-11-22 00:00:00,-8.7811e-09,-8.44252241989e-09
2017-11-22 01:00:00,-8.661224e-09,-8.30029842923e-09
2017-11-22 02:00:00,-8.5912335e-09,-8.14085716473e-09
2017-11-22 03:00:00,-8.551876e-09,-8e-09
2017-11-22 04:00:00,-8.534168e-09,-7.77580986875e-09
2017-11-22 05:00:00,-8.534345e-09,-7.60238772032e-09
2017-11-22 06:00:00,-8.550788e-09,-7.50163638396e-09
2017-11-22 07:00:00,-8.582329e-09,-7.51032424326e-09
2017-11-22 08:00:00,-8.627322e-09,-7.64204786484e-09
2017-11-22 09:00:00,-8.683231e-09,-7.86105674394e-09
2017-11-22 10:00:00,-8.7465875e-09,-8.08508018493e-09
2017-11-22 11:00:00,-8.813234e-09,-8.27369392876e-09
2017-11-22 12:00:00,-8.878768e-09,-8.43033591716e-09
2017-11-22 13:00:00,-8.938944e-09,-8.558286478560001e-09
2017-11-22 14:00:00,-8.989783e-09,-8.658757365530001e-09
2017-11-22 15:00:00,-9.027411e-09,-8.73287039255e-09
2017-11-22 16:00:00,-9.047922e-09,-8.78174737412e-09
2017-11-22 17:00:00,-9.047647e-09,-8.80651012472e-09
2017-11-22 18:00:00,-9.023819e-09,-8.80828045883e-09
2017-11-22 19:00:00,-8.975198e-09,-8.78818019095e-09
2017-11-22 20:00:00,-8.902088e-09,-8.74733113555e-09
2017-11-22 21:00:00,-8.805455e-09,-8.68685510714e-09
2017-11-22 22:00:00,-8.685507e-09,-8.607873920190001e-09
2017-11-22 23:00:00,-8.541221e-09,-8.51150938919e-09
