,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval,Epoch_Time_of_Clock
30,0.00029234220000000003,-9.54969436862e-12,0,60.3057703704,-4.2946679013999995,4.79007960994e-09,-3.8966617441,-5.67461733337e-08,0.0172134079,3.3200748475e-06,5153.61208997,261000.06989,2.0571803022e-07,0.9530360924,-3.80107242746e-07,0.947739517,302.833250809,-1.9436725799,-8.11418281179e-09,1.5666983509500002e-10,1,1973.0,0,-5.89381864201e-37,0,-2.04890966415e-08,60.3057703704,258013.48385100003,0,2017-11-01 06:00:00
90,0.000292297,-9.54969436862e-12,0,60.7898359789,1.8228655615,5e-09,-3.3750704894,1.78851795189e-07,0.0172137417,3.35771591292e-06,5153.61061093,264600.049921,1.68482057711e-07,0.9530061287,-2.3038770657399998e-07,0.9477396344,303.605223792,-1.9436356675,-8.24401269822e-09,1.38951662406e-10,1,1973.0,0,-4.20987045858e-37,0,-2.04890966415e-08,60.7898359789,258161.345608,0,2017-11-01 07:00:00
150,0.0002922593,-9.54969436862e-12,0,61.2101640211,5.172251626,5e-09,-2.8674038444,3.20525011965e-07,0.017214349,3.15087915911e-06,5153.60937074,268199.950079,2.35182326892e-07,0.9529762603,-1.84105303053e-07,0.9477405273,308.871338708,-1.9436132224,-8.23283596754e-09,1.8020394995099997e-10,1,1973.0,0,4.20987045858e-37,0,-2.04890966415e-08,61.2101640211,260700.654392,0,2017-11-01 08:00:00
210,0.0002922256,-9.54969436862e-12,0,61.6942296296,7.7507225888999995,5.05316834674e-09,-2.3457997189,4.68219270599e-07,0.0172149471,2.9542050103700003e-06,5153.6081015,271799.93011,2.98e-07,0.9529464019,-1.31679026024e-07,0.9477413831,313.955811691,-1.9435898233000002,-8.22910185865e-09,2.1848379861300002e-10,1,1973.0,0,5.89381864201e-37,0,-2.04890966415e-08,61.6942296296,264448.516149,0,2017-11-01 09:00:00
270,0.0002921921,-9.54969436862e-12,0,62.353573545100005,11.482858663,5.14950456828e-09,-1.7858799903,7.1763475538e-07,0.0172152637,3.0124654151e-06,5153.60654915,275400.12979499996,2.53277169082e-07,0.9529164686,3.1897619810900004e-08,0.9477414211,314.363034984,-1.9435507096,-8.37532634308e-09,1.94336623235e-10,1,1973.0,0,-1.0945663192299998e-36,0,-2.04890966415e-08,62.353573545100005,268257.39858000004,0,2017-11-01 10:00:00
330,0.0002921575,-9.54969436862e-12,0,62.9332455029,16.6222421298,5.32118680829e-09,-1.2433977986,1.06682263647e-06,0.0172152698,3.34345737663e-06,5153.6047774,279000.229638,9.13344223953e-08,0.9528863945999999,3.0641738006900003e-07,0.9477406058,309.741451318,-1.943496319,-8.67756024312e-09,1.05539059629e-10,1,1973.0,0,-1.9365404109499998e-36,0,-2.04890966415e-08,62.9332455029,271793.089796,0,2017-11-01 11:00:00
390,0.0002921226,-9.54969436862e-12,0,62.8277395288,21.783216017399997,5.50255107618e-09,-0.8505912018,1.41838331289e-06,0.017215175200000002,3.7425732690800004e-06,5153.60315895,282599.472375,-1.0515604688099999e-07,0.952856134,5.887906728659999e-07,0.9477396306,303.800298739,-1.9434419316,-9e-09,5.88099733574e-12,1,1973.0,0,4.44536008736e-36,0,-2.04890966415e-08,62.8277395288,275522.27710999997,0,2017-11-01 12:00:00
450,0.0002920878,-9.54969436862e-12,0,61.7821270782,26.237920873,5.65867294344e-09,-0.6593162947,1.72123116274e-06,0.017215091999999998,4.10045425568e-06,5153.60187771,286197.575465,-2.90911033744e-07,0.9528256688,8.25e-07,0.9477388656,298.514122391,-1.943395296,-9.29930983543e-09,-7.63726067536e-11,1,1973.0,0,2.03349898995e-35,0,-2.04890966415e-08,61.7821270782,279661.32192899997,0,2017-11-01 13:00:00
510,0.0002920531,-9.54969436862e-12,0,59.9079914269,29.988946846399998,5.78876580564e-09,-0.6375632409,1.97484015258e-06,0.0172150246,4.4128587645900004e-06,5153.60091503,289794.751056,-4.6210934865600004e-07,0.9527950087,1.0145550365899999e-06,0.9477383243999999,293.94259841,-1.9433559687000002,-9.548201915270001e-09,-1.4097004235200003e-10,1,1973.0,0,4.37497631563e-35,0,-2.04890966415e-08,59.9079914269,284140.89799,0,2017-11-01 14:00:00
570,0.00029201849999999996,-9.54969436862e-12,0,57.3328511475,33.070642765900004,5.89352731161e-09,-0.7496758593999999,2.1808824919e-06,0.0172149726,4.68011553985e-06,5153.60024341,293391.232807,-6.16732498405e-07,0.9527641642,1.15944018539e-06,0.9477380054000001,290.062147758,-1.9433231499,-9.75517572537e-09,-1.88877566415e-10,1,1973.0,0,7.252159657159999e-35,0,-2.04890966415e-08,57.3328511475,288879.257833,0,2017-11-01 15:00:00
